Regenerative Action,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
Initiative Catalyst Network,initiative-catalyst-network,6925b5b049ecd80b47887089,6925fd9ae0457a716eff0e30,false,false,Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),,organization-and-governance,☀️ Politics,🦺 Leadership and Agency,Liberation,"<p>Establish a rotating role of ""Initiative Catalyst"" whose sole purpose is to identify community needs and empower self-organized working groups—without becoming a permanent leader or gatekeeper.</p>","<p>Concentrate leadership in permanent, unaccountable roles (e.g., ""visionary founder,"" ""executive director"") who control agenda-setting and resource allocation.</p>","<p>• 5+ new community initiatives launched per year • 70% of working groups form without top-down direction ""• High turnover in Catalyst role</p>","<p>Yes — Agency is distributed via role rotation and support for emergent leadership. The Catalyst enables preventing power accumulation, not commands.</p>"
Inner Authority Commons,inner-authority-commons,6925b5b049ecd80b47887089,6925fda9975ebc2a94c44814,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,inner-knowing-and-introspection,✴️ Spirituality,🕉️ Introspection and Self-Reflection,Awakening,"<p>Establish an “Inner Authority Commons” where all community members are recognized as the ultimate authors of their inner life—ensuring power over self-reflection is self-determined, not outsourced to gurus or therapists.</p>",<p>Concentrate authority over inner life in credentialed “experts” who pathologize self-trust and position themselves as necessary intermediaries to truth.</p>,<p>• 100% of community members report feeling authorized to reflect • High satisfaction with inner safety • Reduction in dependency on external validation</p>,"<p>Yes — Power over “who holds truth” is self-possessed and supported by community, not mediated.</p>"
Inner Authority Commons,inner-authority-commons-f1636,6925b5b049ecd80b47887089,6925fdaa4d002b395ac10f50,false,false,Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),,practice-and-discipline,✴️ Spirituality,🤺 Contemplation and Meditation,Awakening,"<p>Establish an “Inner Authority Commons” where all community members are recognized as the ultimate authors of their contemplative path—ensuring power over meditation is self-determined, not outsourced to gurus or apps.</p>",<p>Concentrate authority over meditation in proprietary apps or credentialed teachers who pathologize natural mind-states and position themselves as necessary intermediaries to stillness.</p>,<p>• 100% of community members report feeling authorized to meditate • High satisfaction with inner safety • Reduction in dependency on external guidance</p>,"<p>Yes — Power over “meditation” is self-possessed and supported by community, not mediated.</p>"
Integrity & Virtue Mentorship Network,integrity-virtue-mentorship-network,6925b5b049ecd80b47887089,6925fd9d76532604079ded6a,false,false,Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),,ethics-and-accountability,☀️ Politics,✊ Integrity and Virtue,Healing,"<p>Build an “Integrity &amp; Virtue Mentorship Network” of trained community members who offer confidential, non-punitive support to those struggling with ethical dilemmas or lapses—fostering growth, not shame.</p>","<p>Use “virtue signaling” as a weapon to publicly shame individuals for real or perceived ethical failures, creating a culture of fear, perfectionism, and hidden transgression.</p>",<p>• High usage of mentorship network across all roles  • Reduction in public shaming incidents  • Increased community confidence in ethical repair processes</p>,"<p>Yes — Virtue is cultivated through care, not enforced through punishment. Power to “be virtuous” is supported, not policed.</p>"
Kinship Co-Creation Protocol,kinship-co-creation-protocol,6925b5b049ecd80b47887089,6925fda4fb97d114f03412b9,false,false,Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),,gender-and-generations,🪢 Culture,🦚 Family and Kinship,Healing,"<p>Implement a “Kinship Co-Creation Protocol” where all forms of family—chosen, queer, multi-generational, communal—are recognized and supported through shared resources, legal advocacy, and cultural celebration.</p>","<p>Enforce a narrow, state-sanctioned definition of “family” that excludes, marginalizes, and financially penalizes non-traditional kinship structures.</p>",<p>• 100% of kinship forms legally and culturally recognized • High participation in intergenerational care networks • Reduction in isolation and care gaps</p>,"<p>Yes — Authority over “family” is shared through co-creation, not imposed by legal or cultural fiat.</p>"
Language & Heritage Stewardship Council,language-heritage-stewardship-council,6925b5b049ecd80b47887089,6925fda15446c8e8569d8989,false,false,Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),,identity-and-engagement,🪢 Culture,😜 Ethnicity and Language,Healing,"<p>Establish a “Language &amp; Heritage Stewardship Council” with rotating membership from all linguistic and ethnic groups, empowered to protect, revitalize, and integrate heritage languages into all community functions.</p>","<p>Centralize authority in a dominant language and culture, framing minority languages as “barriers to progress” and excluding non-dominant voices from governance and education.</p>",<p>• 100% of community languages actively supported and taught • High intergenerational transmission of heritage languages • Inclusion of all languages in official communications</p>,"<p>Yes — Authority over language is shared through rotating, community-led stewardship.</p>"
Life Cycle Sovereignty Commons,life-cycle-sovereignty-commons,6925b5b049ecd80b47887089,6925fda72fdaaf83fa504177,false,false,Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),,embodiment-and-sustenance,🌱 Ecology,🏋️ Reproduction and Mortality,Healing,"<p>Establish a “Life Cycle Sovereignty Commons” where all community members share stewardship of birth, aging, and death—ensuring power over life transitions is distributed, not concentrated in medical or state institutions.</p>","<p>Concentrate control of life transitions in hospitals and bureaucracies that pathologize natural processes, exclude community rituals, and deny autonomy at life’s beginning and end.</p>",<p>• 100% of births and deaths supported by community doulas • High satisfaction with dignity of care • Reduction in medicalized trauma</p>,"<p>Yes — Power over life cycles is a shared commons, not a commodity to be managed.</p>"
Living Archetype Co-Creation,living-archetype-co-creation,6925b5b049ecd80b47887089,6925fdaab2bbb54eb5b104e8,false,false,Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),,meaning-and-narrative,✴️ Spirituality,🌀 Archetypal Patterns,Awakening,"<p>Implement a “Living Archetype Co-Creation” protocol where community members explore and reinterpret universal patterns (e.g., Hero, Caregiver) through collaborative workshops—ensuring authority serves meaning-making, not dogma.</p>","<p>Grant permanent authority to religious or cultural institutions that freeze archetypes in rigid, exclusionary forms, silencing emergent interpretations.</p>",<p>• High engagement in archetypal exploration • Revitalization of culturally relevant mythic roles • Reduction in archetypal gatekeeping</p>,<p>Yes — Authority over “archetypes” is transparent and co-created. Power to shape meaning is shared.</p>
Living Authority Charter,living-authority-charter,6925b5b049ecd80b47887089,6925fd9b164c256c4bb79ecf,false,false,Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),,communication-and-critique,☀️ Politics,📰 Accessibility and Openness,Awakening,"<p>Co-create a “Living Authority Charter” that defines the legitimate scope of all institutional authority—and includes clear, accessible pathways for community members to question, challenge, or revoke that authority.</p>","<p>Grant institutions permanent, unchecked authority justified by “expertise” or “efficiency,” with no clear process for community input or oversight.</p>",<p>• 100% of authority charters publicly accessible and written in plain language • High usage of challenge/review pathways • Increased community confidence in institutional legitimacy</p>,"<p>Yes — Authority is a sacred trust granted by the community not a right claimed by elites. Power to define “legitimacy” is shared.""</p>"
Living Authority Charter for Security,living-authority-charter-for-security,6925b5b049ecd80b47887089,6925fd9c8388b9b07dc7dfff,false,false,Tue Nov 25 2025 19:03:56 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:56 GMT+0000 (Coordinated Universal Time),,security-and-accord,☀️ Politics,🛡️ Personal and Domestic Security,Liberation,"<p>Co-create a “Living Authority Charter” that defines the legitimate scope of any intervention in personal/domestic spaces (e.g., wellness checks), with clear, accessible pathways for community oversight and immediate revocation if misused.</p>","<p>Grant permanent, unchecked authority to state agents to enter homes and personal spaces under vague “welfare” or “safety” pretexts, with no clear process for community oversight or redress.</p>",<p>• 100% of personal security protocols governed by public charter • High usage of community review pathways • Reduction in trauma from unwarranted interventions</p>,<p>Yes — Authority over personal space is a sacred trust with clear boundaries and community control—not a state entitlement.</p>
Living Charter Co-Creation,living-charter-co-creation,6925b5b049ecd80b47887089,6925fd9afa87628c7fb9d6fd,false,false,Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),,law-and-justice,☀️ Politics,⚖️ Rights and Rules,Awakening,"<p>Facilitate ongoing, community-wide deliberation to co-create and evolve a “Living Charter” that articulates shared rights and rules—not as a static legal code, but as a living, annotated narrative of collective values.</p>","<p>Impose a rigid, expert-written constitution or legal code that is difficult to amend, silences community input, and treats rights as fixed commodities rather than evolving relationships.</p>",<p>• 80%+ community participation in charter review cycles  • Clear public history of all amendments with rationale  • High trust scores in “State of Our Democracy” report</p>,<p>Yes — Rights and rules are co-created</p>
Living Charter Co-Creation,living-charter-co-creation-a6915,6925b5b049ecd80b47887089,6925fd9d6273ef189b0f9252,false,false,Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),,ethics-and-accountability,☀️ Politics,✊ Principles and Protocols,Awakening,"<p>Facilitate ongoing, community-wide deliberation to co-create and evolve a “Living Charter” that articulates shared ethical principles and decision-making protocols—not as a static rulebook, but as a living, annotated narrative of collective values.</p>","<p>Impose a rigid, expert-written code of ethics that is difficult to amend, silences community input, and treats principles as fixed commodities rather than evolving relationships.</p>",<p>• 80%+ community participation in charter review cycles  • Clear public history of all amendments with rationale  • High trust scores in “State of Our Ethics” report</p>,"<p>Yes — Principles and protocols are co-created, legible, and evolve through collective sense-making. Power to define “ethics” is circulated, not hoarded by elites.</p>"
Living Design Accountability Ledger,living-design-accountability-ledger,6925b5b049ecd80b47887089,6925fd9ed163b94402596fde,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,production-and-resourcing,📉 Economics,⚒️ Design and Innovation,Liberation,<p>Maintain a “Living Design Accountability Ledger” that tracks the full lifecycle impact of every community innovation—from source materials to end-of-life—and holds designers accountable through public review and iterative improvement.</p>,"<p>Promote “innovation” that externalizes social and ecological costs, hides supply chains, and designs for planned obsolescence, with no accountability for long-term harm.</p>",<p>• 100% of community innovations include public lifecycle assessments • High rates of repairability and circular design • Reduction in toxic or non-recyclable materials</p>,"<p>Yes — Innovation is transparent and accountable. Power to “design the future” is shared, not hoarded by unaccountable technocrats.</p>"
Living Knowledge Codification Commons,living-knowledge-codification-commons,6925b5b049ecd80b47887089,6925fda5351432aa6eb7dbbb,false,false,Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),,enquiry-and-learning,🪢 Culture,💡 Writing and Codification,Awakening,"<p>Create a “Living Knowledge Codification Commons” where all community knowledge is written, revised, and archived through open, consent-based processes—ensuring accountability to collective memory, not static authority.</p>","<p>Enforce codification through closed, copyrighted texts that freeze knowledge in time, exclude community voices, and treat writing as a tool of control rather than liberation.</p>",<p>• 100% of community knowledge publicly accessible and co-curated • High participation in knowledge revision cycles • Reduction in knowledge hoarding and silencing</p>,"<p>Yes — Accountability ensures writing serves collective memory, not institutional control.</p>"
Living Mandate Charter,living-mandate-charter,6925b5b049ecd80b47887089,6925fd9bf52fd9ee1cf61ba8,false,false,Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),,representation-and-negotiation,☀️ Politics,☝️ Democracy and Liberty,Awakening,"<p>Co-create a “Living Mandate Charter” that defines democracy not as voting, but as the community’s ongoing right to co-create, revise, and revoke mandates—framing liberty as the freedom to shape the rules of collective life.</p>","<p>Reduce democracy to periodic elections that legitimize pre-determined agendas, while restricting the community’s ability to initiate, amend, or revoke mandates between cycles.</p>","<p>• 80%+ community participation in charter review cycles• Clear, accessible pathways for mandate creation/revocation used regularly• Reduction in perceived “democratic deficit”</p>","<p>Yes — Democracy is a living practice of collective self-determination, not a ritual of consent. Power to define “liberty” is shared.</p>"
Living Myth Co-Authorship Protocol,living-myth-co-authorship-protocol,6925b5b049ecd80b47887089,6925fda9ac5a10724d26c0d7,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,community-and-ceremony,✴️ Spirituality,🎑 Storytelling and Mythmaking,Awakening,"<p>Implement a “Living Myth Co-Authorship Protocol” where community stories are gathered, transformed, and re-told through collaborative workshops—ensuring authority over narrative is shared, not owned by elites.</p>","<p>Grant permanent narrative authority to media, historians, or religious institutions that erase marginalized voices and freeze stories in static, controlling forms.</p>","<p>• 100% of community myths co-authored in open workshops • High engagement in intergenerational story exchange ""• Revitalization of emergent</p>",<p>Yes — Authority over “myth” is transparent and co-created. Power to shape meaning is shared.</p>
Living Symbols Accountability Protocol,living-symbols-accountability-protocol,6925b5b049ecd80b47887089,6925fda33e7c640f1998fc23,false,false,Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:03 GMT+0000 (Coordinated Universal Time),,beliefs-and-ideas,🪢 Culture,🧿 Rituals and Symbols,Healing,"<p>Implement a “Living Symbols Accountability Protocol” where all community rituals and symbols are co-created, with clear processes for community feedback and evolution—ensuring accountability to collective meaning, not static tradition.</p>","<p>Enforce rigid, unchanging rituals that exclude new voices and silence reinterpretation, using sacred symbols as tools of control rather than connection.</p>",<p>• High participation in ritual co-creation and evolution • Strong community ownership of shared symbols • Reduction in ritual alienation or gatekeeping</p>,"<p>Yes — Accountability ensures symbols serve collective meaning, not institutional control.</p>"
Living Vision Charter,living-vision-charter,6925b5b049ecd80b47887089,6925fd9a067e076783298990,false,false,Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),,organization-and-governance,☀️ Politics,🦺 Planning and Vision,Awakening,"<p>Co-create a ""Living Vision Charter"" through annual community assemblies where the collective re-articulates its purpose, values, and long-term direction—not as a static plan, but as an evolving narrative.</p>","<p>Impose a rigid, expert-driven ""strategic plan"" that frames vision as a fixed destination, discouraging adaptation and silencing emergent community wisdom.</p>",<p>• 80% participation in annual Vision Assembly • Charter updated yearly with transparent amendment logs • Increased alignment between domain-specific projects and shared vision</p>,"<p>Yes — Vision is a shared evolving story—not a top-down blueprint. Power to define ""the future"" is circulated through ritualized collective sense-making.</p>"
Living Wage and Care Accountability,living-wage-and-care-accountability,6925b5b049ecd80b47887089,6925fd9f2acbb45660df4906,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,accounting-and-regulation,📉 Economics,🏦 Labour and Employment,Healing,"<p>Implement a “Living Wage and Care Accountability” system where all labor is valued not just by market rates, but by its contribution to community care and resilience, with regular public audits and community-led standards for fair work.</p>","<p>Enforce labor markets that treat human time as a commodity to be minimized, with accountability focused on productivity metrics for shareholders, not dignity or care for workers.</p>",<p>• 100% of community labor meets living wage and care standards • High worker satisfaction and dignity scores • Reduction in burnout and alienation</p>,"<p>Yes — Labor is honored as care. Power to “set wages” is a community act of valuation, not a corporate cost-cutting exercise.</p>"
Mandate & Memory Commons,mandate-memory-commons,6925b5b049ecd80b47887089,6925fd9bcba0432c72f6dfac,false,false,Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),,representation-and-negotiation,☀️ Politics,☝️ Agency and Advocacy,Liberation,"<p>Create a public, real-time “Mandate &amp; Memory Commons” that shows who holds what authority, for what purpose, for how long, and how mandates were created through community consent—making agency legible and temporary.</p>","<p>Obscure agency behind appointed boards, bureaucratic jargon, and “expert” panels that operate without transparent mandates, creating a facade of representation while hoarding real power.</p>",<p>• 100% of mandates publicly logged with clear scope and timeline • 80% of residents can correctly identify who holds authority on a given issue • High trust scores in “State of Our Democracy” report</p>,<p>Yes — Agency is a temporary transparent trust granted by the community not a permanent right claimed by elites.</p>
Material Accountability Ledger,material-accountability-ledger,6925b5b049ecd80b47887089,6925fd9f3cef6cc1885f20a2,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,consumption-and-use,📉 Economics,🌽 Petroleum and Metals,Liberation,"<p>Maintain a public “Material Accountability Ledger” that tracks all legacy petroleum and metal use, with clear protocols for safe phase-out and accountability for environmental harm.</p>","<p>Hide the true costs of extractive materials behind jargon, externalize ecological damage, and avoid accountability through legal looph关 and lobbying.</p>",<p>• 100% of legacy material use publicly logged • Steady decline in extraction-based consumption • High community trust in material stewardship</p>,<p>Yes — Accountability ensures those who benefit from extraction also bear responsibility for healing.</p>
Minerals Accountability Ledger,minerals-accountability-ledger,6925b5b049ecd80b47887089,6925fda5c47d5ba13e713db0,false,false,Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),,materials-and-energy,🌱 Ecology,🔋 Minerals and Metals,Liberation,"<p>Maintain a public “Minerals Accountability Ledger” that tracks all legacy mineral use, with clear protocols for ethical sourcing, reuse, and accountability for ecological harm.</p>","<p>Hide the true costs of mineral extraction behind jargon, externalize ecological damage, and avoid accountability through legal looph关 and lobbying.</p>",<p>• 100% of mineral use publicly logged with lifecycle data • Steady decline in virgin extraction • High community trust in material stewardship</p>,<p>Yes — Authority ensures those who benefit from extraction also bear responsibility for healing.</p>
Mystery Sovereignty Commons,mystery-sovereignty-commons,6925b5b049ecd80b47887089,6925fdabd3fa1dca0a6a6f7f,false,false,Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:11 GMT+0000 (Coordinated Universal Time),,transcendence-and-wonder,✴️ Spirituality,✨ Mystery and Not-Knowing,Awakening,"<p>Establish a “Mystery Sovereignty Commons” where all community members are honored as holders of the sacred unknown—ensuring power over “not-knowing” is shared, not concentrated in credentialed experts.</p>","<p>Concentrate authority in those who claim to “have answers,” pathologizing uncertainty as weakness and excluding those who dwell in the questions.</p>",<p>• High participation in “Questions for the Soul” vaults • Strong community trust in the value of mystery • Reduction in dogmatic certainty</p>,"<p>Yes — Power over mystery is a shared, sacred trust—not a commodity to be solved.</p>"
Native Habitat Sovereignty Commons,native-habitat-sovereignty-commons,6925b5b049ecd80b47887089,6925fda6ac5a10724d26c020,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,habitat-and-settlements,🌱 Ecology,🏘️ Original Habitat and Native Vegetation,Liberation,"<p>Establish a “Native Habitat Sovereignty Commons” where all community members share stewardship of original ecosystems—ensuring power over native vegetation is distributed, not concentrated in conservation NGOs or state agencies.</p>","<p>Concentrate control of habitat in top-down conservation that excludes local knowledge, treats native species as data points, and displaces communities in the name of “protection.”</p>",<p>• 100% of original habitat zones under community stewardship • High participation in native species monitoring and restoration • Steady increase in native biodiversity and ecological function</p>,"<p>Yes — Power over native habitat is a shared commons, not a commodity to be managed.</p>"
Neighborhood Care Pod Network,neighborhood-care-pod-network,6925b5b049ecd80b47887089,6925fd9dd5d6059bea015f34,false,false,Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),,security-and-accord,☀️ Politics,🛡️ Safety and Support,Healing,"<p>Establish “Neighborhood Care Pods”—self-organized, trained groups that provide de-escalation, first aid, and resource coordination during crises, with rotating roles and open membership to ensure no one holds permanent power over safety.</p>","<p>Create hierarchical “security” structures (e.g., police, private security) that concentrate power in professionalized roles, excluding community self-determination and treating safety as a commodity.</p>","<p>• 90% of neighborhoods have active, trained Care Pods • High trust scores in “Community Safety Index” • Reduction in calls to external enforcement</p>","<p>Yes — Safety is a shared, rotating responsibility—not a professionalized monopoly.</p>"
Open-Access Fabrication Commons,open-access-fabrication-commons,6925b5b049ecd80b47887089,6925fd9d20d659f9c56e8e9e,false,false,Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:57 GMT+0000 (Coordinated Universal Time),,production-and-resourcing,📉 Economics,⚒️ Manufacture and Fabrication,Making,"<p>Establish “Open-Access Fabrication Commons”—community workshops with shared tools, open-source designs, and skill-sharing—where anyone can learn to make, repair, and innovate.</p>","<p>Concentrate manufacturing in proprietary, closed factories that exclude community input, hide working conditions, and design for obsolescence rather than repair.</p>",<p>• 90%+ community access to fabrication tools and training • High rates of repair and local production • Low waste from disposable goods</p>,"<p>Yes — Making is a shared, accessible capacity. Power to produce is distributed, not locked behind corporate IP and capital barriers.</p>"
Open Communications Commons,open-communications-commons,6925b5b049ecd80b47887089,6925fda04a5a44063236b791,false,false,Tue Nov 25 2025 19:04:00 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:00 GMT+0000 (Coordinated Universal Time),,technology-and-infrastructure,📉 Economics,🖥️ Communications and Information,Liberation,"<p>Establish an “Open Communications Commons”—a community-owned mesh network with open protocols, transparent data governance, and free access for all—ensuring power over information flows is shared, not hoarded.</p>","<p>Concentrate control of communications in corporate platforms that extract data, manipulate attention, and exclude the marginalized through cost or design.</p>","<p>• 100% of community has free, secure network access • High trust in data sovereignty • Reduction in surveillance and algorithmic manipulation</p>","<p>Yes — Power over communication is a shared commons, not a corporate commodity.</p>"
Open-Goods Accountability Ledger,open-goods-accountability-ledger,6925b5b049ecd80b47887089,6925fd9e4d002b395ac10ce8,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,accounting-and-regulation,📉 Economics,🏦 Goods and Services,Liberation,"<p>Maintain an “Open-Goods Accountability Ledger” that tracks the full lifecycle of all goods and services—from source materials to end-of-life—with public pricing that includes true social and ecological costs, ensuring authority serves transparency, not concealment.</p>","<p>Allow corporate pricing and marketing to obscure true costs through hidden fees, planned obsolescence, and greenwashing, with authority used to protect profit margins over public knowledge.</p>",<p>• 100% of goods include public lifecycle cost breakdowns • High consumer trust in pricing integrity • Reduction in hidden exploitation or ecological harm</p>,"<p>Yes — Authority over goods is transparent and accountable. Power to “set prices” is informed by full-cost accounting, not corporate secrecy.</p>"
Open Goods & Services Commons,open-goods-services-commons,6925b5b049ecd80b47887089,6925fd9f56345465de1983c7,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,consumption-and-use,📉 Economics,🌽 Goods and Services,Making,"<p>Create an “Open Goods &amp; Services Commons”—a public platform where community members list needs and offerings, with authority to ensure fair access and prevent hoarding.</p>","<p>Grant corporations permanent authority to define what “goods and services” are needed, using marketing and IP law to exclude community alternatives.</p>",<p>• High volume of non-monetized exchanges • Low participation in extractive marketplaces • Equitable access to essential goods</p>,"<p>Yes — Authority ensures goods serve community needs, not profit. Power to “offer and receive” is shared.</p>"
Open Goods & Services Exchange,open-goods-services-exchange,6925b5b049ecd80b47887089,6925fd9ecdd2fedadbdaf4d9,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,exchange-and-transfer,📉 Economics,💱 Goods and Services,Making,"<p>Establish an “Open Goods &amp; Services Exchange”—a public, digital platform where community members can list needs and offerings, with transparent tracking of flows and no corporate intermediaries taking a cut.</p>","<p>Concentrate control of goods and services in corporate marketplaces that extract value, obscure true costs, and commodify every human need.</p>",<p>• 90%+ community access to the exchange platform• High volume of non-monetized exchanges• Low participation in extractive platforms</p>,"<p>Yes — Exchange is a direct, transparent relationship. Power to “meet needs” is distributed, not mediated by profit-driven platforms.</p>"
Open Inquiry Commons,open-inquiry-commons,6925b5b049ecd80b47887089,6925fda4dfe28b1aeb2c9b45,false,false,Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:04 GMT+0000 (Coordinated Universal Time),,enquiry-and-learning,🪢 Culture,💡 Deliberation and Debate,Awakening,"<p>Establish an “Open Inquiry Commons” where all voices can engage in structured, respectful debate—ensuring power over discourse is shared, not concentrated in credentialed elites or dominant narratives.</p>","<p>Concentrate deliberative power in closed forums (e.g., academic journals, policy think tanks) that exclude non-experts through jargon, cost, and gatekeeping, while claiming “rational discourse.”</p>",<p>• 95%+ accessibility to debate spaces across demographics • High trust in “Deliberative Integrity Index” • Reduction in epistemic exclusion and silencing</p>,"<p>Yes — Power over “who gets to debate” is guaranteed through inclusive design, not granted as a privilege.</p>"
Participation Equity Dashboard,participation-equity-dashboard,6925b5b049ecd80b47887089,6925fd9b9641940c9d17fc61,false,false,Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),,representation-and-negotiation,☀️ Politics,☝️ Participation and Inclusion,Healing,"<p>Launch a “Participation Equity Dashboard” that tracks who is involved in governance across demographics, identifies gaps, and actively removes barriers (e.g., childcare, translation, flexible timing) to ensure all voices can be heard.</p>","<p>Design participation systems that favor the already-empowered (e.g., daytime meetings, complex registration) while claiming “open access,” effectively excluding marginalized voices and engineering consent through absence.</p>",<p>• 95%+ accessibility rate for all community members in governance • No significant disparity in participation by race• High satisfaction with fairness of participatory processes</p>,"<p>Yes — Inclusion is actively engineered through design, not assumed. Power to shape decisions is shared across difference.</p>"
Participatory Abundance Charter,participatory-abundance-charter,6925b5b049ecd80b47887089,6925fda50aab661a870f8132,false,false,Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:05 GMT+0000 (Coordinated Universal Time),,materials-and-energy,🌱 Ecology,🔋 Availability and Abundance,Awakening,"<p>Co-create a “Participatory Abundance Charter” that defines community standards for resource sufficiency—decided through consensus, not expert decree or market scarcity logic.</p>","<p>Impose top-down resource rationing that frames abundance as “impossible,” silencing community input on what “enough” even means.</p>",<p>• 80%+ community participation in charter creation/review • High trust in “Abundance Index” • Reduction in scarcity-based conflict</p>,"<p>Yes — Decisions about “availability” are made collectively. Power to define abundance is circulated, not hoarded.</p>"
Participatory Accountability Charter,participatory-accountability-charter,6925b5b049ecd80b47887089,6925fd9eaabd166dc99ed563,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,accounting-and-regulation,📉 Economics,🏦 Transparency and Fairness,Awakening,"<p>Co-create a “Participatory Accountability Charter” that defines how all financial and regulatory decisions are made through community consensus, with real-time public dashboards showing every transaction and rule change.</p>","<p>Impose opaque “black box” accounting systems that hide true costs and benefits behind jargon, complex algorithms, and proprietary software, silencing community input on what “fairness” even means.</p>",<p>• 100% of financial flows and regulatory changes publicly logged in plain language • High community trust in “Transparency Index” • Reduction in hidden subsidies or externalized costs</p>,"<p>Yes — Transparency is a shared, co-created practice. Power to define “fairness” is circulated, not hoarded by unaccountable authorities.</p>"
